x,y,T
0.000000,0.000000,1.000000
0.020408,0.000000,0.979600
0.040816,0.000000,0.959185
0.061224,0.000000,0.938769
0.081633,0.000000,0.918372
0.102041,0.000000,0.897962
0.122449,0.000000,0.877556
0.142857,0.000000,0.857141
0.163265,0.000000,0.836727
0.183673,0.000000,0.816322
0.204082,0.000000,0.795923
0.224490,0.000000,0.775523
0.244898,0.000000,0.755117
0.265306,0.000000,0.734702
0.285714,0.000000,0.714281
0.306122,0.000000,0.693857
0.326531,0.000000,0.673431
0.346939,0.000000,0.653005
0.367347,0.000000,0.632581
0.387755,0.000000,0.612158
0.408163,0.000000,0.591736
0.428571,0.000000,0.571316
0.448980,0.000000,0.550898
0.469388,0.000000,0.530481
0.489796,0.000000,0.510066
0.510204,0.000000,0.489652
0.530612,0.000000,0.469240
0.551020,0.000000,0.448829
0.571429,0.000000,0.428419
0.591837,0.000000,0.408010
0.612245,0.000000,0.387603
0.632653,0.000000,0.367196
0.653061,0.000000,0.346791
0.673469,0.000000,0.326386
0.693878,0.000000,0.305982
0.714286,0.000000,0.285580
0.734694,0.000000,0.265178
0.755102,0.000000,0.244777
0.775510,0.000000,0.224376
0.795918,0.000000,0.203976
0.816327,0.000000,0.183577
0.836735,0.000000,0.163178
0.857143,0.000000,0.142780
0.877551,0.000000,0.122382
0.897959,0.000000,0.101984
0.918367,0.000000,0.081587
0.938776,0.000000,0.061190
0.959184,0.000000,0.040793
0.979592,0.000000,0.020397
1.000000,0.000000,0.000000
0.000000,0.020408,1.000000
0.020408,0.020408,0.979600
0.040816,0.020408,0.959185
0.061224,0.020408,0.938769
0.081633,0.020408,0.918372
0.102041,0.020408,0.897962
0.122449,0.020408,0.877556
0.142857,0.020408,0.857141
0.163265,0.020408,0.836727
0.183673,0.020408,0.816322
0.204082,0.020408,0.795923
0.224490,0.020408,0.775523
0.244898,0.020408,0.755117
0.265306,0.020408,0.734702
0.285714,0.020408,0.714281
0.306122,0.020408,0.693857
0.326531,0.020408,0.673431
0.346939,0.020408,0.653005
0.367347,0.020408,0.632581
0.387755,0.020408,0.612158
0.408163,0.020408,0.591736
0.428571,0.020408,0.571316
0.448980,0.020408,0.550898
0.469388,0.020408,0.530481
0.489796,0.020408,0.510066
0.510204,0.020408,0.489652
0.530612,0.020408,0.469240
0.551020,0.020408,0.448829
0.571429,0.020408,0.428419
0.591837,0.020408,0.408010
0.612245,0.020408,0.387603
0.632653,0.020408,0.367196
0.653061,0.020408,0.346791
0.673469,0.020408,0.326386
0.693878,0.020408,0.305982
0.714286,0.020408,0.285580
0.734694,0.020408,0.265178
0.755102,0.020408,0.244777
0.775510,0.020408,0.224376
0.795918,0.020408,0.203976
0.816327,0.020408,0.183577
0.836735,0.020408,0.163178
0.857143,0.020408,0.142780
0.877551,0.020408,0.122382
0.897959,0.020408,0.101984
0.918367,0.020408,0.081587
0.938776,0.020408,0.061190
0.959184,0.020408,0.040793
0.979592,0.020408,0.020397
1.000000,0.020408,0.000000
0.000000,0.040816,1.000000
0.020408,0.040816,0.979593
0.040816,0.040816,0.959187
0.061224,0.040816,0.938775
0.081633,0.040816,0.918371
0.102041,0.040816,0.897959
0.122449,0.040816,0.877553
0.142857,0.040816,0.857141
0.163265,0.040816,0.836729
0.183673,0.040816,0.816325
0.204082,0.040816,0.795925
0.224490,0.040816,0.775524
0.244898,0.040816,0.755116
0.265306,0.040816,0.734701
0.285714,0.040816,0.714280
0.306122,0.040816,0.693856
0.326531,0.040816,0.673430
0.346939,0.040816,0.653005
0.367347,0.040816,0.632580
0.387755,0.040816,0.612157
0.408163,0.040816,0.591736
0.428571,0.040816,0.571316
0.448980,0.040816,0.550898
0.469388,0.040816,0.530481
0.489796,0.040816,0.510066
0.510204,0.040816,0.489652
0.530612,0.040816,0.469240
0.551020,0.040816,0.448829
0.571429,0.040816,0.428419
0.591837,0.040816,0.408010
0.612245,0.040816,0.387603
0.632653,0.040816,0.367196
0.653061,0.040816,0.346791
0.673469,0.040816,0.326386
0.693878,0.040816,0.305983
0.714286,0.040816,0.285580
0.734694,0.040816,0.265178
0.755102,0.040816,0.244777
0.775510,0.040816,0.224376
0.795918,0.040816,0.203976
0.816327,0.040816,0.183577
0.836735,0.040816,0.163178
0.857143,0.040816,0.142780
0.877551,0.040816,0.122382
0.897959,0.040816,0.101984
0.918367,0.040816,0.081587
0.938776,0.040816,0.061190
0.959184,0.040816,0.040793
0.979592,0.040816,0.020397
1.000000,0.040816,0.000000
0.000000,0.061224,1.000000
0.020408,0.061224,0.979594
0.040816,0.061224,0.959186
0.061224,0.061224,0.938774
0.081633,0.061224,0.918369
0.102041,0.061224,0.897957
0.122449,0.061224,0.877553
0.142857,0.061224,0.857143
0.163265,0.061224,0.836731
0.183673,0.061224,0.816326
0.204082,0.061224,0.795926
0.224490,0.061224,0.775523
0.244898,0.061224,0.755115
0.265306,0.061224,0.734700
0.285714,0.061224,0.714279
0.306122,0.061224,0.693855
0.326531,0.061224,0.673430
0.346939,0.061224,0.653004
0.367347,0.061224,0.632580
0.387755,0.061224,0.612157
0.408163,0.061224,0.591736
0.428571,0.061224,0.571316
0.448980,0.061224,0.550898
0.469388,0.061224,0.530481
0.489796,0.061224,0.510066
0.510204,0.061224,0.489653
0.530612,0.061224,0.469240
0.551020,0.061224,0.448829
0.571429,0.061224,0.428419
0.591837,0.061224,0.408011
0.612245,0.061224,0.387603
0.632653,0.061224,0.367196
0.653061,0.061224,0.346791
0.673469,0.061224,0.326386
0.693878,0.061224,0.305983
0.714286,0.061224,0.285580
0.734694,0.061224,0.265178
0.755102,0.061224,0.244777
0.775510,0.061224,0.224376
0.795918,0.061224,0.203976
0.816327,0.061224,0.183577
0.836735,0.061224,0.163178
0.857143,0.061224,0.142780
0.877551,0.061224,0.122382
0.897959,0.061224,0.101985
0.918367,0.061224,0.081587
0.938776,0.061224,0.061190
0.959184,0.061224,0.040793
0.979592,0.061224,0.020397
1.000000,0.061224,0.000000
0.000000,0.081633,1.000000
0.020408,0.081633,0.979595
0.040816,0.081633,0.959184
0.061224,0.081633,0.938773
0.081633,0.081633,0.918368
0.102041,0.081633,0.897958
0.122449,0.081633,0.877555
0.142857,0.081633,0.857144
0.163265,0.081633,0.836733
0.183673,0.081633,0.816327
0.204082,0.081633,0.795926
0.224490,0.081633,0.775523
0.244898,0.081633,0.755114
0.265306,0.081633,0.734698
0.285714,0.081633,0.714278
0.306122,0.081633,0.693854
0.326531,0.081633,0.673429
0.346939,0.081633,0.653004
0.367347,0.081633,0.632580
0.387755,0.081633,0.612157
0.408163,0.081633,0.591736
0.428571,0.081633,0.571316
0.448980,0.081633,0.550898
0.469388,0.081633,0.530482
0.489796,0.081633,0.510067
0.510204,0.081633,0.489653
0.530612,0.081633,0.469241
0.551020,0.081633,0.448829
0.571429,0.081633,0.428420
0.591837,0.081633,0.408011
0.612245,0.081633,0.387603
0.632653,0.081633,0.367197
0.653061,0.081633,0.346791
0.673469,0.081633,0.326387
0.693878,0.081633,0.305983
0.714286,0.081633,0.285580
0.734694,0.081633,0.265178
0.755102,0.081633,0.244777
0.775510,0.081633,0.224377
0.795918,0.081633,0.203977
0.816327,0.081633,0.183577
0.836735,0.081633,0.163179
0.857143,0.081633,0.142780
