x,y,T
0.734694,0.061224,0.227953
0.755102,0.061224,0.207391
0.775510,0.061224,0.187444
0.795918,0.061224,0.168106
0.816327,0.061224,0.149359
0.836735,0.061224,0.131175
0.857143,0.061224,0.113518
0.877551,0.061224,0.096342
0.897959,0.061224,0.079596
0.918367,0.061224,0.063218
0.938776,0.061224,0.047142
0.959184,0.061224,0.031298
0.979592,0.061224,0.015609
1.000000,0.061224,0.000000
0.000000,0.081633,1.000000
0.020408,0.081633,0.985867
0.040816,0.081633,0.971631
0.061224,0.081633,0.957191
0.081633,0.081633,0.942448
0.102041,0.081633,0.927310
0.122449,0.081633,0.911689
0.142857,0.081633,0.895509
0.163265,0.081633,0.878698
0.183673,0.081633,0.861198
0.204082,0.081633,0.842962
0.224490,0.081633,0.823953
0.244898,0.081633,0.804149
0.265306,0.081633,0.783539
0.285714,0.081633,0.762127
0.306122,0.081633,0.739930
0.326531,0.081633,0.716976
0.346939,0.081633,0.693309
0.367347,0.081633,0.668980
0.387755,0.081633,0.644055
0.408163,0.081633,0.618607
0.428571,0.081633,0.592720
0.448980,0.081633,0.566483
0.469388,0.081633,0.539993
0.489796,0.081633,0.513348
0.510204,0.081633,0.486652
0.530612,0.081633,0.460007
0.551020,0.081633,0.433517
0.571429,0.081633,0.407280
0.591837,0.081633,0.381393
0.612245,0.081633,0.355945
0.632653,0.081633,0.331020
0.653061,0.081633,0.306691
0.673469,0.081633,0.283024
0.693878,0.081633,0.260070
0.714286,0.081633,0.237873
0.734694,0.081633,0.216461
0.755102,0.081633,0.195851
0.775510,0.081633,0.176047
0.795918,0.081633,0.157038
0.816327,0.081633,0.138802
0.836735,0.081633,0.121302
0.857143,0.081633,0.104491
0.877551,0.081633,0.088311
0.897959,0.081633,0.072690
0.918367,0.081633,0.057552
0.938776,0.081633,0.042809
0.959184,0.081633,0.028369
0.979592,0.081633,0.014133
1.000000,0.081633,0.000000
0.000000,0.102041,1.000000
0.020408,0.102041,0.987240
0.040816,0.102041,0.974355
0.061224,0.102041,0.961221
0.081633,0.102041,0.947718
0.102041,0.102041,0.933733
0.122449,0.102041,0.919161
0.142857,0.102041,0.903905
0.163265,0.102041,0.887882
0.183673,0.102041,0.871019
0.204082,0.102041,0.853257
0.224490,0.102041,0.834555
0.244898,0.102041,0.814882
0.265306,0.102041,0.794229
0.285714,0.102041,0.772597
0.306122,0.102041,0.750008
0.326531,0.102041,0.726498
0.346939,0.102041,0.702117
0.367347,0.102041,0.676930
0.387755,0.102041,0.651016
0.408163,0.102041,0.624466
0.428571,0.102041,0.597380
0.448980,0.102041,0.569867
0.469388,0.102041,0.542046
0.489796,0.102041,0.514036
0.510204,0.102041,0.485964
0.530612,0.102041,0.457954
0.551020,0.102041,0.430133
0.571429,0.102041,0.402620
0.591837,0.102041,0.375534
0.612245,0.102041,0.348984
0.632653,0.102041,0.323070
0.653061,0.102041,0.297883
0.673469,0.102041,0.273502
0.693878,0.102041,0.249992
0.714286,0.102041,0.227403
0.734694,0.102041,0.205771
0.755102,0.102041,0.185118
0.775510,0.102041,0.165445
0.795918,0.102041,0.146743
0.816327,0.102041,0.128981
0.836735,0.102041,0.112118
0.857143,0.102041,0.096095
0.877551,0.102041,0.080839
0.897959,0.102041,0.066267
0.918367,0.102041,0.052282
0.938776,0.102041,0.038779
0.959184,0.102041,0.025645
0.979592,0.102041,0.012760
1.000000,0.102041,0.000000
0.000000,0.122449,1.000000
0.020408,0.122449,0.988488
0.040816,0.122449,0.976830
0.061224,0.122449,0.964882
0.081633,0.122449,0.952506
0.102041,0.122449,0.939569
0.122449,0.122449,0.925948
0.142857,0.122449,0.911534
0.163265,0.122449,0.896225
0.183673,0.122449,0.879941
0.204082,0.122449,0.862611
0.224490,0.122449,0.844187
0.244898,0.122449,0.824635
0.265306,0.122449,0.803941
0.285714,0.122449,0.782110
0.306122,0.122449,0.759165
0.326531,0.122449,0.735149
0.346939,0.122449,0.710119
0.367347,0.122449,0.684153
0.387755,0.122449,0.657341
0.408163,0.122449,0.629789
0.428571,0.122449,0.601613
0.448980,0.122449,0.572942
0.469388,0.122449,0.543911
0.489796,0.122449,0.514661
0.510204,0.122449,0.485339
0.530612,0.122449,0.456089
0.551020,0.122449,0.427058
0.571429,0.122449,0.398387
0.591837,0.122449,0.370211
0.612245,0.122449,0.342659
0.632653,0.122449,0.315847
0.653061,0.122449,0.289881
0.673469,0.122449,0.264851
0.693878,0.122449,0.240835
0.714286,0.122449,0.217890
0.734694,0.122449,0.196059
0.755102,0.122449,0.175365
0.775510,0.122449,0.155813
0.795918,0.122449,0.137389
0.816327,0.122449,0.120059
0.836735,0.122449,0.103775
0.857143,0.122449,0.088466
0.877551,0.122449,0.074052
0.897959,0.122449,0.060431
0.918367,0.122449,0.047494
0.938776,0.122449,0.035118
0.959184,0.122449,0.023170
0.979592,0.122449,0.011512
1.000000,0.122449,0.000000
0.000000,0.142857,1.000000
0.020408,0.142857,0.989590
0.040816,0.142857,0.979015
0.061224,0.142857,0.968115
0.081633,0.142857,0.956733
0.102041,0.142857,0.944721
0.122449,0.142857,0.931942
0.142857,0.142857,0.918269
0.163265,0.142857,0.903592
0.183673,0.142857,0.887818
0.204082,0.142857,0.870870
0.224490,0.142857,0.852691
0.244898,0.142857,0.833245
0.265306,0.142857,0.812516
0.285714,0.142857,0.790509
0.306122,0.142857,0.767250
0.326531,0.142857,0.742787
0.346939,0.142857,0.717185
0.367347,0.142857,0.690530
0.387755,0.142857,0.662925
0.408163,0.142857,0.634488
