x,y,T
0.315789,0.473684,0.691088
0.368421,0.473684,0.637102
0.421053,0.473684,0.582517
0.473684,0.473684,0.527544
0.526316,0.473684,0.472437
0.578947,0.473684,0.417465
0.631579,0.473684,0.362880
0.684211,0.473684,0.308895
0.736842,0.473684,0.255656
0.789474,0.473684,0.203229
0.842105,0.473684,0.151593
0.894737,0.473684,0.100640
0.947368,0.473684,0.050187
1.000000,0.473684,0.000000
0.000000,0.526316,1.000000
0.052632,0.526316,0.944936
0.105263,0.526316,0.890139
0.157895,0.526316,0.835815
0.210526,0.526316,0.782178
0.263158,0.526316,0.729337
0.315789,0.526316,0.677311
0.368421,0.526316,0.626033
0.421053,0.526316,0.575357
0.473684,0.526316,0.525068
0.526316,0.526316,0.474914
0.578947,0.526316,0.424625
0.631579,0.526316,0.373948
0.684211,0.526316,0.322672
0.736842,0.526316,0.270649
0.789474,0.526316,0.217813
0.842105,0.526316,0.164188
0.894737,0.526316,0.109880
0.947368,0.526316,0.055072
1.000000,0.526316,0.000000
0.000000,0.578947,1.000000
0.052632,0.578947,0.940303
0.105263,0.578947,0.881375
0.157895,0.578947,0.823869
0.210526,0.578947,0.768345
0.263158,0.578947,0.715116
0.315789,0.578947,0.664243
0.368421,0.578947,0.615535
0.421053,0.578947,0.568565
0.473684,0.578947,0.522719
0.526316,0.578947,0.477262
0.578947,0.578947,0.431417
0.631579,0.578947,0.384447
0.684211,0.578947,0.335740
0.736842,0.578947,0.284870
0.789474,0.578947,0.231646
0.842105,0.578947,0.176134
0.894737,0.578947,0.118645
0.947368,0.578947,0.059706
1.000000,0.578947,0.000000
0.000000,0.631579,1.000000
0.052632,0.631579,0.936386
0.105263,0.631579,0.873967
0.157895,0.631579,0.813771
0.210526,0.631579,0.756652
0.263158,0.631579,0.703095
0.315789,0.631579,0.653197
0.368421,0.631579,0.606660
0.421053,0.631579,0.562824
0.473684,0.631579,0.520734
0.526316,0.631579,0.479247
0.578947,0.631579,0.437157
0.631579,0.631579,0.393321
0.684211,0.631579,0.346785
0.736842,0.631579,0.296890
0.789474,0.631579,0.243339
0.842105,0.631579,0.186232
0.894737,0.631579,0.126054
0.947368,0.631579,0.063622
1.000000,0.631579,0.000000
0.000000,0.684211,1.000000
0.052632,0.684211,0.933538
0.105263,0.684211,0.868579
0.157895,0.684211,0.806428
0.210526,0.684211,0.748149
0.263158,0.684211,0.694353
0.315789,0.684211,0.645164
0.368421,0.684211,0.600206
0.421053,0.684211,0.558648
0.473684,0.684211,0.519289
0.526316,0.684211,0.480691
0.578947,0.684211,0.441332
0.631579,0.684211,0.399774
0.684211,0.684211,0.354818
0.736842,0.684211,0.305632
0.789474,0.684211,0.251843
0.842105,0.684211,0.193576
0.894737,0.684211,0.131442
0.947368,0.684211,0.066471
1.000000,0.684211,0.000000
0.000000,0.736842,1.000000
0.052632,0.736842,0.931925
0.105263,0.736842,0.865527
0.157895,0.736842,0.802268
0.210526,0.736842,0.743333
0.263158,0.736842,0.689402
0.315789,0.736842,0.640614
0.368421,0.736842,0.596551
0.421053,0.736842,0.556283
0.473684,0.736842,0.518471
0.526316,0.736842,0.481508
0.578947,0.736842,0.443696
0.631579,0.736842,0.403430
0.684211,0.736842,0.359368
0.736842,0.736842,0.310584
0.789474,0.736842,0.256660
0.842105,0.736842,0.197735
0.894737,0.736842,0.134494
0.947368,0.736842,0.068084
1.000000,0.736842,0.000000
0.000000,0.789474,1.000000
0.052632,0.789474,0.931474
0.105263,0.789474,0.864675
0.157895,0.789474,0.801108
0.210526,0.789474,0.741989
0.263158,0.789474,0.688020
0.315789,0.789474,0.639344
0.368421,0.789474,0.595531
0.421053,0.789474,0.555624
0.473684,0.789474,0.518243
0.526316,0.789474,0.481736
0.578947,0.789474,0.444356
0.631579,0.789474,0.404450
0.684211,0.789474,0.360638
0.736842,0.789474,0.311966
0.789474,0.789474,0.258004
0.842105,0.789474,0.198897
0.894737,0.789474,0.135346
0.947368,0.789474,0.068535
1.000000,0.789474,0.000000
0.000000,0.842105,1.000000
0.052632,0.842105,0.931866
0.105263,0.842105,0.865416
0.157895,0.842105,0.802119
0.210526,0.842105,0.743161
0.263158,0.842105,0.689225
0.315789,0.842105,0.640452
0.368421,0.842105,0.596421
0.421053,0.842105,0.556199
0.473684,0.842105,0.518443
0.526316,0.842105,0.481538
0.578947,0.842105,0.443781
0.631579,0.842105,0.403561
0.684211,0.842105,0.359532
0.736842,0.842105,0.310762
0.789474,0.842105,0.256833
0.842105,0.842105,0.197886
0.894737,0.842105,0.134604
0.947368,0.842105,0.068143
1.000000,0.842105,0.000000
0.000000,0.894737,1.000000
0.052632,0.894737,0.932597
0.105263,0.894737,0.866800
0.157895,0.894737,0.804008
0.210526,0.894737,0.745349
0.263158,0.894737,0.691476
0.315789,0.894737,0.642520
0.368421,0.894737,0.598083
0.421053,0.894737,0.557275
0.473684,0.894737,0.518815
0.526316,0.894737,0.481167
0.578947,0.894737,0.442708
0.631579,0.894737,0.401901
0.684211,0.894737,0.357466
0.736842,0.894737,0.308514
0.789474,0.894737,0.254646
0.842105,0.894737,0.195998
0.894737,0.894737,0.133219
0.947368,0.894737,0.067411
1.000000,0.894737,0.000000
0.000000,0.947368,1.000000
0.052632,0.947368,0.933143
0.105263,0.947368,0.867827
0.157895,0.947368,0.805418
0.210526,0.947368,0.746985
0.263158,0.947368,0.693159
0.315789,0.947368,0.644067
0.368421,0.947368,0.599326
0.421053,0.947368,0.558080
0.473684,0.947368,0.519095
0.526316,0.947368,0.480892
0.578947,0.947368,0.441907
0.631579,0.947368,0.400662
0.684211,0.947368,0.355924
0.736842,0.947368,0.306835
0.789474,0.947368,0.253014
0.842105,0.947368,0.194588
0.894737,0.947368,0.132186
0.947368,0.947368,0.066865
1.000000,0.947368,0.000000
0.000000,1.000000,1.000000
0.052632,1.000000,0.933143
0.105263,1.000000,0.867827
0.157895,1.000000,0.805418
0.210526,1.000000,0.746985
0.263158,1.000000,0.693159
0.315789,1.000000,0.644067
0.368421,1.000000,0.599326
0.421053,1.000000,0.558080
0.473684,1.000000,0.519095
0.526316,1.000000,0.480892
0.578947,1.000000,0.441907
0.631579,1.000000,0.400662
0.684211,1.000000,0.355924
0.736842,1.000000,0.306835
0.789474,1.000000,0.253014
0.842105,1.000000,0.194588
0.894737,1.000000,0.132186
0.947368,1.000000,0.066865
1.000000,1.000000,0.000000
